titulo,mais_favoritos
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),1
Harry Potter e a Pedra Filosofal (Harry Potter #1),2
O Pequeno Príncipe,3
Os sete maridos de Evelyn Hugo,4
A Menina que Roubava Livros,5
Harry Potter e as Relíquias da Morte (Harry Potter #7),6
Harry Potter e o Enigma do Príncipe (Harry Potter #6),7
Harry Potter e o Cálice de Fogo (Harry Potter #4),8
Harry Potter e a Câmara Secreta (Harry Potter #2),9
Harry Potter e a Ordem da Fênix (Harry Potter #5),10
A Culpa é das Estrelas,11
É Assim Que Acaba,12
Jogos Vorazes #1,13
A Seleção #1,14
Em Chamas (Jogos Vorazes #2),15
A Escolha (A Seleção #3),16
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),17
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),18
Orgulho e preconceito,19
As Vantagens de Ser Invisível,20
Extraordinário,21
Como Eu Era Antes de Você #1,22
O Último Olimpiano (Percy Jackson e os Olimpianos #5),23
A Esperança (Jogos Vorazes #3),24
"Quem É Você, Alasca?",25
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),26
A Elite (A Seleção #2),27
As Crônicas de Nárnia,28
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),29
O Diário de Anne Frank,30
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),31
"Vermelho, Branco e Sangue Azul",32
O Hobbit,33
O Príncipe Cruel (O Povo do Ar #1),34
A Revolução dos Bichos,35
Crepúsculo #1,36
1984,37
A Rainha Vermelha #1,38
O Mar de Monstros (Percy Jackson e os Olimpianos #2),39
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),40
Perdida #1,41
Daisy Jones &amp; The Six,42
Heartstopper #1,43
O Morro dos Ventos Uivantes,44
Por Lugares Incríveis,45
Corte de Espinhos e Rosas #1,46
Divergente (Divergente  #1),47
O Rei Perverso (O Povo do Ar #2),48
Amanhecer (Crepúsculo #4),49
O Menino do Pijama Listrado,50
Dom Casmurro (Série Bom Livro),51
O Caçador de Pipas,52
A Rainha do Nada (O Povo do Ar #3),53
A Cabana,54
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),55
Cidade dos Ossos (Os Instrumentos Mortais #1),56
Todas as Suas (Im)Perfeições,57
Amor &amp; Gelato,58
Teto Para Dois,59
O Visconde Que Me Amava (Os Bridgertons #2),60
Verity,61
Eclipse  (Crepúsculo #3),62
"Sussurro (Hush, Hush #01)",63
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),64
A Sociedade do Anel (O Senhor dos Anéis #1),65
Cem anos de solidão,66
Trono de Vidro #1,67
Cidade de Vidro (Os Instrumentos Mortais #3),68
Capitães da Areia,69
O Código Da Vinci (Robert Langdon #2),70
Lua Nova (Crepúsculo #2),71
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),72
It: A Coisa,73
É Assim Que Começa (É Assim Que Acaba #2),74
Anjos e Demônios (Robert Langdon #1),75
Flores para Algernon,76
A Hipótese do Amor,77
O Acordo (Amores Improváveis #1),78
Marley &amp; Eu,79
A Casa de Hades (Os Heróis do Olimpo #4),80
Belo Desastre #1,81
O Lado Feio do Amor,82
A Hospedeira,83
O Guia do Mochileiro das Galáxias #1,84
Princesa Mecânica (As Peças Infernais #3),85
Mil Beijos de Garoto,86
A Marca de Atena (Os Heróis do Olimpo #3),87
E Não Sobrou Nenhum,88
Heartstopper #2,89
O Mundo de Sofia,90
A Cidade do Sol,91
Mentirosos,92
Rainha das Sombras (Trono de Vidro #4),93
Para Todos os Garotos que Já Amei #1,94
Cinquenta Tons de Cinza #1,95
Coraline,96
A Maldição do Tigre (A Saga do Tigre #1),97
Querido John,98
O Nome do Vento (A Crônica do Matador do Rei #1),99
A Sombra do Vento (O Cemitério dos Livros Esquecidos #01),100
Incendeia-me (Estilhaça-me #3),101
A Estreia de Fani (Fazendo Meu Filme #1),102
O Sol é Para Todos,103
Cidades de Papel,104
O Retorno do Rei (O Senhor dos Anéis #3),105
As Duas Torres (O Senhor dos Anéis #2),106
