titulo,mais_lendo
As Crônicas de Nárnia,1
O Diário de Anne Frank,2
1984,3
Os sete maridos de Evelyn Hugo,4
"Vermelho, Branco e Sangue Azul",5
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),6
É Assim Que Acaba,7
Harry Potter e a Pedra Filosofal (Harry Potter #1),8
A Menina que Roubava Livros,9
Eu Sou Eric Zimmerman #1,10
It: A Coisa,11
A Rainha Vermelha #1,12
Orgulho e preconceito,13
O Príncipe Cruel (O Povo do Ar #1),14
Mulheres que Correm com os Lobos,15
Corte de Espinhos e Rosas #1,16
A Culpa é das Estrelas,17
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),18
Harry Potter e o Cálice de Fogo (Harry Potter #4),19
Amor &amp; Gelato,20
O Mundo de Sofia,21
A Revolução dos Bichos,22
Harry Potter e a Câmara Secreta (Harry Potter #2),23
Mil Beijos de Garoto,24
É Assim Que Começa (É Assim Que Acaba #2),25
Lady Killers: Assassinas em Série,26
A Vida Invisível de Addie LaRue,27
O Morro dos Ventos Uivantes,28
Todas as Suas (Im)Perfeições,29
A Seleção #1,30
O Pequeno Príncipe,31
Harry Potter e a Ordem da Fênix (Harry Potter #5),32
Teto Para Dois,33
Sapiens,34
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),35
Espada de Vidro (A Rainha Vermelha #2),36
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),37
Como Eu Era Antes de Você #1,38
Um de Nós Está Mentindo #1,39
"Quem É Você, Alasca?",40
O Poder do Hábito,41
Os Dois Morrem no Final,42
A Biblioteca da Meia-Noite,43
Bíblia Sagrada,44
As Vantagens de Ser Invisível,45
O Hobbit,46
Anne de Green Gables #1,47
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),48
Daisy Jones &amp; The Six,49
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),50
O Conto da Aia,51
Os Miseráveis,52
A Hipótese do Amor,53
Duna (Crônicas de Duna #1),54
A Sociedade do Anel (O Senhor dos Anéis #1),55
Crime e Castigo (A Obra-prima de cada autor,56
O Menino do Pijama Listrado,57
Jogos Vorazes #1,58
Por Lugares Incríveis,59
Mentirosos,60
Cidade dos Ossos (Os Instrumentos Mortais #1),61
Estilhaça-me #1,62
Dom Casmurro (Série Bom Livro),63
Trono de Vidro #1,64
A Cabana,65
O Lado Feio do Amor,66
Extraordinário,67
O Rei Perverso (O Povo do Ar #2),68
"Novembro, 9",69
Crepúsculo #1,70
A Elite (A Seleção #2),71
A Sutil Arte de Ligar o F*da-se,72
A Garota do Lago,73
O Retrato de Dorian Gray,74
Drácula,75
Cidades de Papel,76
Admirável mundo novo,77
Flores para Algernon,78
Verity,79
O Homem de Giz,80
O Mar de Monstros (Percy Jackson e os Olimpianos #2),81
O Iluminado,82
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),83
Mulherzinhas,84
Cem anos de solidão,85
Harry Potter e o Enigma do Príncipe (Harry Potter #6),86
Depois de você (Como eu era antes de você #2),87
O Teorema Katherine,88
O Orfanato da Srta. Peregrine Para Crianças Peculiares #1,89
O Guia do Mochileiro das Galáxias #1,90
Eu e Esse Meu Coração,91
O Código Da Vinci (Robert Langdon #2),92
A Prisão do Rei (A Rainha Vermelha #3),93
Harry Potter e as Relíquias da Morte (Harry Potter #7),94
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),95
O Duque e Eu (Os Bridgertons #1),96
A Batalha do Apocalipse,97
Coraline,98
Em Chamas (Jogos Vorazes #2),99
Sol da Meia-Noite (Crepúsculo #5),100
Cinquenta Tons de Cinza #1,101
Fahrenheit 451,102
O Herói Perdido (Os Heróis do Olimpo #1),103
Para Todos os Garotos que Já Amei #1,104
O Sol é Para Todos,105
A Esperança (Jogos Vorazes #3),106
