titulo,mais_quero_ler
A Menina que Roubava Livros,1
O Menino do Pijama Listrado,2
A Culpa é das Estrelas,3
O Diário de Anne Frank,4
A Rainha Vermelha #1,5
As Crônicas de Nárnia,6
"Quem É Você, Alasca?",7
Harry Potter e o Enigma do Príncipe (Harry Potter #6),8
Harry Potter e a Ordem da Fênix (Harry Potter #5),9
As Vantagens de Ser Invisível,10
Harry Potter e as Relíquias da Morte (Harry Potter #7),11
É Assim Que Acaba,12
Jogos Vorazes #1,13
Harry Potter e o Cálice de Fogo (Harry Potter #4),14
Os sete maridos de Evelyn Hugo,15
O Pequeno Príncipe,16
A Seleção #1,17
1984,18
Como Eu Era Antes de Você #1,19
Harry Potter e a Pedra Filosofal (Harry Potter #1),20
Cidades de Papel,21
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),22
A Esperança (Jogos Vorazes #3),23
O Teorema Katherine,24
It: A Coisa,25
Corte de Espinhos e Rosas #1,26
Em Chamas (Jogos Vorazes #2),27
Cidade dos Ossos (Os Instrumentos Mortais #1),28
Por Lugares Incríveis,29
A Revolução dos Bichos,30
Amor &amp; Gelato,31
O Sol é Para Todos,32
Teto Para Dois,33
A Dança dos Dragões (Crônicas do Gelo e Fogo #5),34
O Festim dos Corvos (Crônicas do Gelo e Fogo #4),35
O Príncipe Cruel (O Povo do Ar #1),36
Harry Potter e a Câmara Secreta (Harry Potter #2),37
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),38
A Escolha (A Seleção #3),39
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),40
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),41
Todas as Suas (Im)Perfeições,42
O Lado Feio do Amor,43
O Lado Bom da Vida,44
O Morro dos Ventos Uivantes,45
"Vermelho, Branco e Sangue Azul",46
Cidade dos Anjos Caídos (Os Instrumentos Mortais #4),47
A Elite (A Seleção #2),48
Cidade de Vidro (Os Instrumentos Mortais #3),49
Cidade das Cinzas (Os Instrumentos Mortais #2),50
P.S. Eu Te Amo (P.S. Te Amo #1),51
Morte Súbita,52
"Novembro, 9",53
O Código Da Vinci (Robert Langdon #2),54
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),55
Um de Nós Está Mentindo #1,56
Os Ventos do Inverno (Crônicas do Gelo e Fogo #6),57
Trono de Vidro #1,58
A Cabana,59
Orgulho e preconceito,60
Para Todos os Garotos que Já Amei #1,61
A Menina Que Não Sabia Ler #1,62
Laranja Mecânica,63
O Hobbit,64
Garota Exemplar,65
Querido John,66
O Mundo de Sofia,67
Mentirosos,68
Mil Beijos de Garoto,69
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),70
Extraordinário,71
Os Dois Morrem no Final,72
Espada de Vidro (A Rainha Vermelha #2),73
O Último Olimpiano (Percy Jackson e os Olimpianos #5),74
Coraline,75
A Vida Invisível de Addie LaRue,76
O Caçador de Pipas,77
Depois de você (Como eu era antes de você #2),78
Um Sonho de Primavera (Crônicas do Gelo e Fogo #7),79
Estilhaça-me #1,80
Precisamos Falar Sobre o Kevin,81
Anjos e Demônios (Robert Langdon #1),82
A Última Música,83
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),84
Êxtase (Fallen #4),85
A Biblioteca da Meia-Noite,86
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),87
Lady Killers: Assassinas em Série,88
Daisy Jones &amp; The Six,89
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),90
Tormenta (Fallen #2),91
A Marca de Atena (Os Heróis do Olimpo #3),92
Paixão (Fallen #3),93
O Conto da Aia,94
Um Homem de Sorte,95
Perdida #1,96
O Símbolo Perdido (Robert Langdon #3),97
Os 13 Porquês,98
Verity,99
1808,100
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),101
A Sombra do Vento (O Cemitério dos Livros Esquecidos #01),102
O Filho de Netuno (Os Heróis do Olimpo #2),103
The Kiss of Deception (Crônicas de Amor e Ódio #1),104
As Duas Torres (O Senhor dos Anéis #2),105
O Retorno do Rei (O Senhor dos Anéis #3),106
